COD_CLI;STATUS;IFIN1;IFIN2;IFIN3;IFIN4;IFIN5;IFIN6;IFIN7;IFIN8;IFIN9;IFIN10;FATLIQ;REST_TIPO_1;REST_TIPO_2;REST_TIPO_3;REST_TIPO_4;REST_TIPO_5;UF;IDADE;RAMO;NUM_SOCIOS
2180;MAU;21.00;775.06;38.48;0.60;;12.14;0.30;-302.40;-15.00;-5.46;3981.52;1;0;1;0;0;RJ;79;5;3
2181;MAU;;;26.64;0.00;4.60;11.72;-1.50;687.40;-2.08;-2.10;2201.14;0;0;0;0;0;RJ;76;7;2
2182;BOM;0.50;455.28;0.00;0.00;3.10;11.82;-0.05;;139.58;-8.82;292.02;0;0;0;0;0;RJ;48;2;3
2183;BOM;;;10.36;0.00;4.60;11.96;-8.50;1024.80;-40.00;-1.68;580.90;0;0;2;0;0;MG;113;5;3
2184;MAU;16.40;558.26;68.08;0.74;1.70;13.97;0.10;693.00;2.08;-0.84;4640.92;0;0;0;0;0;SP;58;3;4
2185;BOM;14.20;536.58;72.52;1.45;6.40;12.81;-0.10;201.60;-30.83;0.00;3717.76;184;40;513;0;0;RJ;51;3;2
2186;MAU;0.80;124.66;0.00;;4.40;17.79;6.50;-170203.60;1.66;-0.84;1001.66;3;0;0;0;12;MG;18;1;4
2187;MAU;49.70;991.86;100.64;0.00;1.90;15.05;-2.00;238.00;-45.00;2.10;4571.84;5;0;6;0;0;RJ;42;2;4
2188;BOM;13.10;113.82;2.96;0.00;4.20;13.90;0.50;;42.91;-0.84;5667.70;0;0;1;0;0;RJ;60;7;4
2189;BOM;29.20;487.80;106.56;0.00;0.70;12.90;4.05;530.60;142.50;-11.34;4399.14;1;0;0;0;0;RJ;63;5;2
2190;MAU;1.50;439.02;2.96;0.00;0.50;11.69;-0.50;;-67.08;2.94;392.50;4;0;5;0;0;RJ;55;5;4
2191;BOM;13.60;390.24;5.92;0.00;0.40;20.87;0.55;145.60;28.75;2.10;3777.42;0;0;0;0;0;RJ;53;6;2
2192;BOM;4.90;558.26;7.40;0.00;1.90;12.87;0.55;368.20;5.41;-5.46;2041.00;1;0;0;0;0;RJ;41;5;2
2193;MAU;106.90;102.98;20.72;0.58;2.30;16.82;7.95;238.00;-27.50;-6.72;744.18;0;0;0;0;18;RJ;41;5;4
2194;MAU;7.30;498.64;0.00;0.00;2.90;11.82;-0.75;942.20;196.66;-0.84;844.66;7;0;7;0;0;RJ;17;4;4
2195;BOM;6.50;70.46;39.96;0.00;6.80;23.13;2.20;-1092.00;-14.58;-1.26;1836.90;1;0;1;0;0;RJ;40;7;4
2196;BOM;10.30;352.30;31.08;0.00;2.90;14.06;2.40;100.80;-15.41;-2.10;1397.30;1;0;0;0;0;RJ;40;5;3
2197;BOM;7.10;16.26;0.00;0.00;1.80;11.56;0.70;1274.00;-122.91;-17.64;144.44;0;0;0;0;0;RJ;40;3;2
2198;MAU;;;34.04;0.00;0.40;11.92;-22.05;1799.00;0.41;-4.62;923.16;1;0;0;0;0;RJ;39;5;2
2199;MAU;1.80;455.28;78.44;0.60;39.80;11.71;0.40;-184.80;-27.08;-0.84;210.38;5;0;2;0;0;MG;18;5;2
2200;BOM;17.40;693.76;87.32;2.05;1.20;13.88;0.05;425.60;-62.08;5.88;916.88;1;0;0;0;0;RJ;39;2;3
2201;BOM;5.90;547.42;60.68;1.10;3.30;12.80;1.75;-11051.60;-38.33;-5.88;1064.46;0;0;5;0;0;RJ;38;3;2
2202;MAU;1.70;514.90;7.40;0.12;4.00;12.08;0.90;-3213.00;-5.83;-5.04;763.02;0;0;0;1;0;RJ;37;4;4
2203;MAU;13.20;276.42;47.36;1.20;22.10;12.66;0.80;-43.40;-22.08;-2.52;1463.24;0;0;1;4;0;RJ;36;4;2
2204;MAU;6.50;520.32;28.12;0.00;;14.34;0.90;179.20;-9.16;-0.42;1246.58;11;2;12;0;4;MG;18;2;3
2205;BOM;1.10;32.52;0.00;0.00;7.40;13.09;0.75;-5332.60;18.33;2.10;1610.82;0;0;1;0;0;MG;19;3;4
2206;MAU;0.20;439.02;0.00;0.00;4.40;11.91;0.45;-256.20;0.41;2.10;810.12;0;0;1;0;0;MG;18;5;2
2207;MAU;12.00;964.76;136.16;1.04;0.30;12.09;0.70;743.40;-124.58;-5.04;1023.64;113;0;93;0;0;MG;18;1;3
2208;MAU;169.00;536.58;17.76;0.00;0.70;15.30;-0.30;411.60;-41.25;-0.84;995.38;28;0;7;0;0;MG;17;3;4
2209;MAU;4.80;476.96;111.00;0.00;14.60;12.01;1.65;-4468.80;-32.50;1.26;747.32;0;0;0;0;0;RJ;18;2;4
2210;MAU;9.90;720.86;121.36;0.55;7.20;13.03;3.40;-477.40;-35.41;-0.42;1413.00;63;3;6;0;0;RJ;17;6;2
2211;BOM;15.40;682.92;60.68;0.00;1.50;14.39;4.35;338.80;-16.25;-0.84;844.66;1;0;0;0;0;MG;17;5;3
2212;MAU;0.00;531.16;0.00;0.00;6.80;11.28;0.05;-2564.80;53.33;-0.84;141.30;0;0;0;0;0;RJ;16;5;2
2213;MAU;8.30;617.88;100.64;0.97;1.60;12.93;1.05;;-55.83;-0.42;656.26;109;8;1;0;7;RJ;16;4;3
2214;BOM;15.50;1111.10;103.60;0.00;;11.61;4.70;705.60;-5571.25;-0.84;1783.52;4;0;13;0;0;RJ;31;4;4
2215;MAU;26.40;135.50;19.24;0.00;1.20;15.41;4.85;1339.80;-15.00;1.26;678.24;13;1;3;0;0;RJ;18;4;2
2216;MAU;2.20;471.54;0.00;;2.20;15.12;9.90;;-21.66;3.78;1277.98;42;0;60;0;16;RJ;18;5;2
2217;BOM;8.70;0.00;0.00;;7.00;15.26;9.15;-42077.00;-2.50;-13.02;1108.42;21;0;5;0;12;RJ;18;3;2
2218;MAU;131.50;3875.30;224.96;0.07;3.30;11.79;1.90;644.00;-105.83;-5.88;1158.66;3;0;7;0;0;MG;17;2;4
2219;BOM;4.00;260.16;7.40;0.00;1.80;18.57;1.35;-2291.80;-7.91;-3.36;7570.54;0;0;3;0;6;MG;17;7;4
2220;MAU;6.40;216.80;66.60;2.14;;14.04;7.05;-26153.40;-20.00;-2.10;4446.24;7;1;0;0;13;RJ;17;4;2
2221;BOM;91.20;1035.22;0.00;0.00;0.10;19.10;2.30;;-1.66;2.52;737.90;0;0;0;0;12;RJ;17;4;2
2222;BOM;313.20;12948.38;84.36;0.00;27.00;11.44;-16.30;690.20;-40.41;-0.84;1262.28;0;0;3;0;0;MG;16;7;4
2223;MAU;4.70;357.72;0.00;0.00;;16.36;3.15;-35471.80;-18.75;-4.20;992.24;1;0;0;0;19;MG;16;5;3
2224;MAU;;;63.64;0.00;9.20;11.93;-0.50;564.20;-20.00;-10.92;486.70;0;0;0;0;0;RJ;16;4;3
2225;MAU;40.00;943.08;76.96;1.40;0.90;12.94;-0.05;296.80;-36.25;-5.46;2895.08;1;0;0;2;16;MG;16;7;4
2226;MAU;26.00;254.74;22.20;0.00;1.50;14.57;0.75;560.00;87.08;-2.52;2141.48;0;0;1;0;0;RJ;15;3;2
2227;BOM;0.90;54.20;5.92;0.00;;16.81;10.10;-6472.20;5.00;7.14;1343.92;0;0;0;0;0;MG;14;3;2
2228;MAU;;;222.00;0.00;1.80;12.12;;611.80;-149.16;5.88;2731.80;347;0;476;0;0;RJ;15;1;4
2229;BOM;29.60;10.84;0.00;0.00;0.00;34.73;4.15;;0.00;-0.84;3808.82;0;0;0;0;12;RJ;15;7;2
2230;MAU;22.70;1512.18;14.80;0.37;69.20;11.31;6.50;99.40;0.00;-8.82;106.76;13;1;0;0;0;MG;15;2;2
2231;MAU;1.20;330.62;0.00;0.00;0.10;28.41;6.40;;0.41;-0.84;1651.64;3;0;0;0;12;MG;14;4;4
2232;MAU;3.50;157.18;0.00;0.00;0.00;18.18;7.05;-2989.00;50.00;-5.88;1657.92;0;0;0;0;16;MG;14;2;2
2233;MAU;25.50;601.62;0.00;0.00;1.60;17.24;3.20;441.00;-45.83;2.52;1011.08;0;0;1;1;0;SP;17;4;2
2234;BOM;6.10;260.16;0.00;0.00;3.90;13.89;12.50;-130.20;2.08;-7.56;1667.34;0;0;0;0;0;RJ;17;4;2
2235;BOM;7.00;81.30;2.96;0.00;1.60;14.73;1.05;-567.00;60.00;5.04;747.32;1;0;0;0;0;RJ;17;3;2
2236;BOM;127.20;3636.82;0.00;0.00;9.90;11.88;1.80;842.80;2.08;-0.84;386.22;0;0;0;0;61;MG;15;2;4
2237;MAU;6.60;504.06;17.76;0.76;3.80;13.53;2.90;-9629.20;-31.25;-0.42;719.06;0;0;1;0;7;RJ;16;5;3
2238;MAU;;;94.72;0.09;4.80;14.24;-4.40;204.40;-42.08;-1.68;2044.14;79;0;16;0;0;MG;13;6;2
2239;BOM;1.50;330.62;20.72;0.00;3.90;14.38;7.00;-4389.00;-6.66;-8.40;4810.48;0;0;0;0;1;RJ;16;6;4
2240;MAU;9.60;807.58;127.28;0.44;6.00;11.60;-1.60;718.20;-57.08;-1.68;731.62;15;0;1;1;0;MG;16;5;3
2241;MAU;55.20;2162.58;39.96;1.73;3.00;12.38;-8.20;544.60;-231.66;-2.10;540.08;45;0;21;0;0;MG;16;2;4
2242;MAU;29.30;1457.98;41.44;1.01;2.80;11.77;2.50;656.60;-17.50;110.88;932.58;7;0;0;0;0;RJ;16;2;3
2243;BOM;2.00;493.22;41.44;0.00;;12.20;-5.30;-6841.80;-17.91;-1.26;624.86;16;0;1;0;0;RJ;16;7;2
2244;MAU;27.20;1609.74;50.32;0.00;3.20;11.31;0.00;800.80;-13.75;-10.92;87.92;7;2;0;0;0;MG;16;2;3
2245;MAU;15.40;205.96;0.00;;6.30;12.81;9.75;;-437.91;-5.46;1029.92;0;0;1;0;12;MG;15;3;2
2246;BOM;38.70;70.46;16.28;0.00;1.30;18.85;0.65;1143.80;18.75;-4.62;803.84;0;0;0;0;0;MG;16;4;2
2247;BOM;0.50;487.80;23.68;0.00;2.60;11.61;-0.10;;-17.50;-1.68;1259.14;0;0;0;0;0;MG;16;2;4
2248;BOM;7.60;439.02;23.68;0.00;4.20;14.36;1.05;58.80;-22.08;-8.82;2866.82;2;0;1;0;0;RJ;35;3;3
2249;BOM;3.60;536.58;8.88;0.00;19.40;12.27;0.35;344.40;-6.25;-1.26;3830.80;0;0;0;0;0;RJ;35;1;2
2250;BOM;15.00;1002.70;29.60;0.00;2.00;12.03;-2.50;7480.20;7.50;4.20;3494.82;1;0;0;0;0;SP;31;4;2
2251;BOM;8.80;37.94;34.04;0.00;11.80;12.76;2.60;-2074.80;-8.75;-0.84;1585.70;0;0;2;1;0;RJ;32;3;2
2252;BOM;8.10;200.54;32.56;0.00;3.00;14.88;1.00;-214.20;-8.75;-5.46;910.60;0;0;0;0;0;RJ;31;1;4
2253;MAU;17.60;65.04;0.00;0.00;8.20;14.24;6.65;-5440.40;-12.91;-2.94;1299.96;1;0;0;0;12;SP;27;2;4
2254;BOM;3.70;178.86;0.00;0.00;4.10;14.68;1.85;-2521.40;3.75;-17.22;1617.10;0;0;0;0;0;SP;36;2;4
2255;MAU;17.10;433.60;38.48;0.25;1.80;15.28;3.75;77.00;-22.50;-6.72;1937.38;0;0;0;0;0;SP;36;4;3
2256;MAU;28.90;471.54;81.40;0.53;1.40;13.00;0.20;212.80;-38.75;-1.26;967.12;5;0;2;0;7;SP;36;5;2
2257;BOM;5.50;287.26;0.00;0.00;7.40;12.95;1.75;-8528.80;59.58;12.18;1045.62;0;0;0;0;0;SP;36;8;3
2258;MAU;5.40;319.78;57.72;0.00;2.20;13.28;3.90;-1968.40;-22.91;-7.14;2709.82;0;0;2;0;0;SP;48;8;2
2259;MAU;10.60;525.74;68.08;1.22;6.30;14.78;7.90;-1300.60;-39.58;-16.38;1500.92;5;1;0;0;0;SP;27;8;2
2260;MAU;;;87.32;0.00;1.70;14.33;-46.80;617.40;-106.66;-1.68;4314.36;0;0;0;0;0;SP;36;5;4
2261;MAU;14.40;791.32;63.64;0.39;5.30;13.06;7.95;516.60;-31.66;-1.68;1491.50;0;0;0;0;24;SP;36;4;2
2262;BOM;2.30;135.50;0.00;0.00;3.60;13.14;-0.15;117.60;45.83;-0.84;1739.56;0;0;3;0;0;SP;36;4;3
2263;MAU;9.60;498.64;23.68;0.30;5.60;12.41;0.05;378.00;-0.83;-29.82;841.52;0;0;0;0;0;SP;27;5;4
2264;MAU;7.50;504.06;0.00;0.00;1.30;17.98;-0.25;-310.80;-24850.00;-1.26;731.62;0;0;0;0;0;SP;36;4;3
2265;MAU;256.10;4948.46;25.16;0.00;21.20;12.96;8.20;421.40;-26.66;-5.88;923.16;0;0;0;0;7;MG;27;1;2
2266;MAU;13.10;601.62;42.92;0.14;10.20;12.22;0.05;407.40;-10.41;-0.84;6342.80;8;1;0;2;0;SP;46;2;3
2267;MAU;11.10;661.24;57.72;0.00;5.90;12.64;0.45;-229.60;-116.25;-24.36;618.58;0;0;0;0;0;SP;44;4;4
2268;BOM;4.80;86.72;0.00;0.00;17.60;13.07;2.65;-747.60;5.41;-2.10;1434.98;0;0;0;0;0;SP;36;4;2
2269;BOM;3.00;281.84;7.40;0.00;1.40;13.76;0.00;84.00;8.75;-10.08;7859.42;0;0;1;0;0;SP;49;4;2
2270;BOM;1.90;455.28;1.48;0.00;5.00;12.38;0.65;-2548.00;-16.25;-11.76;803.84;0;0;0;0;15;SP;59;4;2
2271;BOM;5.00;368.56;0.00;0.00;0.80;14.78;0.45;245.00;2.91;-1.68;1077.02;0;0;0;0;0;SP;40;4;2
2272;BOM;;;1.48;0.00;1.30;16.81;0.95;590.80;-8.33;-0.42;3475.98;0;0;0;0;0;SP;39;6;3
2273;BOM;12.10;130.08;47.36;1.56;1.60;16.57;2.15;131.60;-13.33;-14.70;1384.74;0;0;0;0;0;SP;48;5;2
2274;BOM;28.70;406.50;0.00;0.00;;11.74;0.90;-840.00;-0.83;-0.84;370.52;0;0;0;0;25;SP;35;1;4
2275;MAU;;;35.52;0.32;3.50;13.95;-4.45;2506.00;12.50;-1.68;747.32;37;0;2;0;0;SP;35;6;2
2276;MAU;21.50;753.38;47.36;0.00;32.00;12.75;0.90;-194.60;-69.16;-0.84;634.28;1;0;0;0;0;SP;35;3;4
2277;BOM;18.70;216.80;0.00;0.00;5.10;14.20;0.90;191.80;-0.83;0.84;753.60;0;0;0;0;0;SP;27;4;4
2278;MAU;4.90;623.30;71.04;2.07;3.30;12.24;-1.40;207.20;-45.41;-2.94;1296.82;5;1;3;0;0;SP;35;4;2
2279;BOM;1.40;157.18;0.00;0.00;7.60;13.83;4.80;-7994.00;55.00;-0.84;1007.94;0;0;0;0;0;SP;27;8;2
2280;BOM;42.70;964.76;0.00;0.00;;14.18;;337.40;7.08;0.42;3362.94;1;0;1;0;5;SP;35;2;2
2281;MAU;13.90;417.34;47.36;0.00;3.40;14.21;0.05;238.00;-25.83;0.42;967.12;4;0;0;0;0;SP;35;4;3
2282;BOM;17.70;905.14;50.32;0.00;3.20;13.33;4.10;415.80;-33.33;-2.94;803.84;0;0;0;6;0;SP;27;4;3
2283;MAU;27.00;5.42;31.08;0.00;1.40;17.14;2.25;-1304.80;-9.16;-11.34;1971.92;26;4;3;0;0;SP;33;7;4
2284;MAU;15.90;775.06;41.44;0.00;;11.27;-0.80;2808.40;4.58;-1.68;109.90;0;0;0;0;0;RJ;27;1;2
2285;MAU;15.90;341.46;37.00;0.00;1.50;14.66;0.15;210.00;-24.58;-9.24;888.62;0;0;0;0;0;SP;27;7;2
2286;MAU;1.70;536.58;69.56;0.00;2.80;12.13;0.65;-229.60;-28.33;1.68;2034.72;0;0;0;0;0;SP;34;3;3
2287;BOM;;;99.16;1.10;1.10;15.28;-9.55;590.80;-105.83;-7.56;781.86;0;0;0;0;0;SP;27;2;3
2288;MAU;0.40;271.00;0.00;0.00;;13.30;2.65;;0.41;-3.36;3840.22;2;0;0;0;1;SP;34;7;3
2289;BOM;;;122.84;0.00;2.10;13.57;;772.80;268.75;-39.06;1177.50;0;0;0;0;0;SP;27;5;2
2290;MAU;17.20;482.38;0.00;0.00;14.50;12.89;-4.00;;-26.25;6.30;618.58;0;0;0;0;0;SP;36;2;4
2291;BOM;0.60;48.78;0.00;0.00;;12.13;0.65;-20343.40;7.08;-0.84;511.82;0;0;0;0;0;SP;46;6;4
2292;MAU;48.40;628.72;13.32;0.00;;15.19;6.50;221.20;-20.83;-2.10;2807.16;0;0;1;0;4;SP;34;3;2
2293;MAU;10.80;168.02;63.64;1.33;;13.17;5.60;-112.00;-10.83;-2.10;1573.14;2;0;20;2;19;SP;34;7;2
2294;BOM;4.90;243.90;4.44;0.00;2.30;13.81;2.45;-742.00;43.33;-1.68;4753.96;0;0;0;0;0;SP;35;2;2
2295;MAU;10.10;628.72;60.68;0.00;3.80;11.92;0.30;-245.00;-37.91;-2.52;1642.22;0;0;0;0;0;SP;34;1;2
2296;MAU;12.10;867.20;85.84;1.20;2.60;12.80;-0.50;649.60;-48.33;-4.20;455.30;0;0;0;0;0;SP;34;8;2
2297;BOM;4.70;162.60;0.00;0.00;3.00;14.65;1.90;-2452.80;-1148.75;-1.68;879.20;0;0;0;0;0;SP;38;5;3
2298;BOM;2.60;563.68;79.92;0.00;5.90;11.84;-0.30;506.80;-167.50;-2.52;530.66;0;0;0;0;0;SP;34;5;2
2299;MAU;32.10;1409.20;87.32;1.91;1.40;14.14;4.20;499.80;-62.91;-0.42;1783.52;0;0;1;1;0;SP;32;3;4
2300;BOM;11.40;460.70;60.68;1.15;9.80;12.83;0.50;232.40;-29.58;-2.52;2263.94;1;0;0;0;0;SP;33;7;2
2301;MAU;17.70;368.56;108.04;1.08;2.70;12.52;2.85;533.40;-64.16;-10.92;1588.84;0;0;0;1;0;SP;33;7;4
2302;BOM;12.00;666.66;48.84;0.00;3.70;12.76;0.15;485.80;-16.25;4.62;2983.00;1;0;0;0;0;MG;34;4;2
2303;BOM;;;11.84;0.32;;25.67;220.40;490.00;130.41;-4.62;2232.54;0;0;0;0;19;SP;34;7;3
2304;BOM;5.40;617.88;0.00;0.00;9.80;11.64;-1.70;3834.60;-7.91;-4.20;568.34;0;0;0;0;0;SP;34;4;2
2305;BOM;4.60;249.32;5.92;0.00;3.20;14.25;1.15;239.40;-1.25;-6.72;6455.84;0;0;0;0;0;SP;35;4;4
2306;BOM;11.10;542.00;31.08;0.00;;13.64;0.85;238.00;-242.91;-4.62;1485.22;0;0;0;0;8;SP;33;1;4
2307;BOM;29.80;834.68;0.00;0.00;8.20;12.59;-2.20;709.80;-8.33;5.88;2895.08;0;0;0;0;0;SP;33;3;2
2308;BOM;2.00;168.02;0.00;0.00;2.20;13.75;0.75;-2405.20;74.16;-0.84;2954.74;0;0;0;0;0;SP;33;3;4
2309;MAU;18.60;433.60;42.92;1.31;;13.17;2.55;-606.20;-32.91;-0.84;913.74;1;0;0;0;4;SP;33;2;2
2310;MAU;7.60;563.68;68.08;0.12;9.60;12.20;0.00;428.40;-27.08;-4.20;2876.24;6;1;2;0;0;SP;41;3;2
2311;MAU;11.00;536.58;65.12;0.25;14.70;12.99;0.55;-415.80;-33.33;-3.36;1221.46;47;0;34;0;0;SP;33;5;2
2312;MAU;3.10;368.56;8.88;0.00;2.40;14.12;0.45;280.00;1.66;-5.46;3290.72;0;0;0;0;0;SP;27;3;3
2313;BOM;2.90;222.22;7.40;0.00;4.20;15.23;0.60;;0.41;0.42;6006.82;0;0;0;0;0;SP;50;4;2
2314;BOM;2.60;249.32;0.00;0.00;5.10;14.35;4.60;-9440.20;3.33;0.00;863.50;0;0;0;0;0;SP;39;4;4
2315;MAU;7.30;140.92;26.64;0.00;2.00;15.18;2.70;-130.20;-16.25;-3.78;816.40;32;0;4;0;0;SP;27;3;2
2316;BOM;2.40;601.62;205.72;0.00;1.00;11.74;0.05;851.20;-95.41;-0.84;678.24;0;0;0;0;0;SP;34;1;4
2317;BOM;5.20;319.78;8.88;0.00;1.60;15.07;0.15;231.00;-5.00;-0.84;785.00;0;0;0;0;0;SP;33;6;2
2318;BOM;260.20;5707.26;0.00;0.00;0.10;33.46;;2014.60;-4.16;-2.10;4888.98;0;0;0;0;10;SP;35;2;2
2319;BOM;2.00;184.28;0.00;;0.00;18.01;7.45;;-299.58;-0.84;1127.26;0;0;0;0;30;SP;34;3;4
2320;MAU;5.70;368.56;44.40;0.00;6.10;12.79;0.95;-441.00;-21.25;-3.36;662.54;0;0;0;0;0;SP;27;4;3
2321;BOM;11.30;384.82;41.44;0.83;5.80;15.81;2.70;86.80;3.75;-13.44;2901.36;0;0;0;0;0;SP;40;3;4
2322;BOM;97.50;1642.26;57.72;0.87;0.60;17.21;-0.85;614.60;-192.91;-0.84;888.62;0;0;0;0;0;SP;34;5;2
2323;BOM;10.90;552.84;71.04;0.00;1.60;13.56;-0.05;;-27.08;-5.46;2634.46;0;0;0;0;0;SP;36;4;2
2324;BOM;6.30;162.60;0.00;0.00;2.30;14.38;1.70;-2780.40;-10.00;4.62;1940.52;0;0;1;0;16;SP;34;5;2
2325;MAU;59.50;596.20;32.56;1.93;8.00;12.96;2.00;551.60;-31.66;0.00;1413.00;0;0;0;0;16;SP;32;6;2
2326;MAU;13.90;81.30;39.96;0.67;4.60;13.77;5.15;-2385.60;-16.25;-2.94;850.94;1;0;1;0;4;SP;27;5;4
2327;BOM;580.90;16124.50;81.40;1.29;0.60;15.04;-8.95;583.80;-48.75;-4.20;766.16;0;0;0;0;0;SP;27;7;4
2328;MAU;0.90;493.22;14.80;0.00;0.10;19.28;1.85;3805.20;-3.75;-1.68;2132.06;0;0;0;0;7;SP;27;6;2
2329;MAU;11.00;926.82;69.56;0.00;5.10;12.45;-1.35;625.80;133.75;38.64;1695.60;0;0;0;0;0;SP;36;2;3
2330;BOM;44.00;379.40;1.48;0.00;6.60;13.48;8.00;7.00;-3.75;-3.78;4110.26;0;0;0;0;12;SP;34;3;4
2331;BOM;10.40;466.12;0.00;0.00;17.60;12.66;2.85;177.80;3.33;-4.20;982.82;0;0;0;0;0;SP;36;3;2
2332;MAU;7.80;482.38;65.12;0.37;3.70;13.09;3.80;93.80;-24.58;-5.88;904.32;1;0;0;1;0;SP;35;6;2
2333;MAU;22.20;655.82;93.24;0.00;;12.45;-0.05;487.20;-35.41;-0.84;4521.60;0;0;0;0;0;SP;27;2;2
2334;BOM;11.50;243.90;44.40;0.00;1.00;14.52;1.85;;44.58;-6.72;4797.92;0;0;0;0;0;SP;35;7;3
2335;BOM;5.00;422.76;0.00;0.00;3.20;12.85;0.10;-3262.00;-191.66;-2.52;502.40;0;0;0;0;0;SP;37;5;2
2336;MAU;13.80;108.40;78.44;0.00;;15.37;3.30;-807.80;-17.50;5.04;841.52;0;0;0;0;8;SP;27;2;4
2337;BOM;34.10;726.28;14.80;0.00;2.30;14.91;5.70;310.80;-7.08;-1.26;7432.38;0;0;0;0;0;SP;58;7;4
2338;MAU;26.90;699.18;91.76;0.00;;13.72;-1.00;428.40;-65.41;-2.52;4593.82;0;0;0;0;0;SP;27;2;3
2339;BOM;2.20;292.68;0.00;0.00;1.60;13.46;1.20;-4356.80;65.00;2.94;791.28;0;0;0;0;0;SP;44;4;2
2340;BOM;3.30;569.10;0.00;0.00;1.30;13.21;0.40;;82.50;-5.04;6452.70;1;0;6;0;0;SP;59;1;3
2341;MAU;3.60;617.88;152.44;0.00;5.20;12.05;-0.45;578.20;-103.75;-5.04;467.86;0;0;0;0;0;SP;37;4;4
2342;BOM;8.50;195.12;31.08;0.74;4.60;14.56;0.45;0.00;-15.00;4.62;1180.64;0;0;0;0;0;SP;35;3;3
2343;MAU;25.10;1040.64;56.24;2.07;6.00;13.30;-2.90;506.80;-55.83;-7.14;945.14;0;0;0;0;0;SP;33;1;4
2344;BOM;1.50;195.12;0.00;0.00;26.70;13.27;0.15;-1687.00;22.91;-3.78;1554.30;0;0;0;0;0;SP;33;6;4
2345;MAU;;;13.32;0.00;3.60;12.44;-56.15;1316.00;3.33;-6.72;1588.84;1;0;1;0;5;SP;35;5;3
2346;BOM;77.00;2710.00;78.44;0.00;2.60;14.88;-4.70;463.40;22.08;-7.56;1111.56;0;0;0;3;0;SP;37;3;2
2347;MAU;26.10;238.48;68.08;0.00;3.60;12.94;0.05;-12.60;-32.50;-2.52;700.22;1;0;1;0;0;SP;28;6;2
2348;MAU;;;54.76;0.97;1.70;14.34;;485.80;-22.08;-0.84;891.76;0;0;0;0;0;SP;34;2;4
2349;BOM;9.50;233.06;16.28;0.02;4.00;14.47;0.60;-357.00;-9.16;1.26;2568.52;0;0;0;0;0;SP;34;1;3
2350;BOM;61.30;2124.64;236.80;0.00;2.60;13.64;;506.80;-98.75;-0.84;791.28;0;0;0;0;12;SP;27;7;4
2351;MAU;14.80;390.24;47.36;0.41;3.60;13.17;0.55;-2633.40;-26.66;0.42;1497.78;7;0;0;0;0;SP;34;8;2
2352;BOM;130.70;747.96;0.00;0.00;1.10;15.91;-0.20;1024.80;61.66;0.00;2769.48;0;0;0;0;25;SP;38;4;2
2353;BOM;10.40;157.18;25.16;0.39;1.60;13.68;4.50;-2301.60;-18.33;5.04;662.54;0;0;0;0;7;SP;26;2;3
2354;MAU;7.90;650.40;28.12;0.00;;11.92;-0.70;604.80;43.75;-6.30;3259.32;0;0;0;0;0;SP;26;5;4
2355;BOM;17.80;260.16;25.16;0.64;;15.62;5.80;-273.00;-19.16;-8.82;938.86;0;0;0;0;0;SP;33;3;4
2356;BOM;4.30;639.56;56.24;0.00;4.90;12.27;0.20;624.40;-56.25;-6.30;1582.56;0;0;0;0;0;SP;33;7;2
2357;MAU;11.60;336.04;26.64;0.00;2.30;14.82;1.00;341.60;37.08;-0.84;3899.88;1;0;0;0;0;SP;26;3;2
2358;MAU;728.60;3289.94;8.88;0.00;4.20;15.31;;387.80;-2091.66;-0.84;1450.68;2;0;2;0;5;SP;27;5;3
2359;MAU;105.90;2336.02;71.04;0.00;1.60;21.10;0.90;25904.20;-1145.83;-0.42;923.16;2;0;1;3;0;SP;33;2;2
2360;BOM;26.50;504.06;5.92;0.00;6.80;13.21;2.30;170.80;-7.08;-3.78;960.84;0;0;5;0;0;SP;26;5;4
2361;BOM;18.50;476.96;0.00;0.00;0.80;17.86;0.70;1461.60;50.00;-13.86;5206.12;1;0;2;0;0;SP;26;5;2
2362;BOM;5.10;243.90;22.20;0.00;;12.87;1.70;329.00;-16.66;-1.26;1953.08;0;0;0;0;0;SP;27;2;4
2363;BOM;30.60;1295.38;0.00;0.00;0.60;13.94;-3.95;1234.80;0.41;-0.84;6807.52;4;0;0;1;16;SP;32;5;4
2364;BOM;4.00;205.96;0.00;0.00;5.40;13.59;0.70;-27819.40;1.66;2.94;2116.36;0;0;0;0;0;SP;26;7;2
2365;BOM;1.50;623.30;0.00;;;11.24;-1.45;11690.00;-32.50;-5.88;53.38;0;0;0;0;60;RJ;32;1;4
2366;BOM;3.20;211.38;26.64;0.00;1.60;15.71;0.25;-1947.40;-1.25;-0.84;894.90;0;0;0;0;0;SP;45;7;4
2367;MAU;4.50;401.08;16.28;0.00;4.30;13.25;1.30;121.80;0.41;-2.52;2084.96;1;0;2;0;0;SP;46;6;4
2368;MAU;0.50;514.90;0.00;0.00;1.00;11.75;0.25;;-5539.58;-2.52;681.38;0;0;0;0;0;SP;54;3;2
2369;MAU;6.80;43.36;20.72;0.74;13.20;12.62;4.00;-3523.80;-7.91;-2.52;2122.64;10;1;1;0;7;SP;33;4;4
2370;BOM;4.20;373.98;17.76;0.00;0.70;13.57;1.15;212.80;118.75;-12.18;1243.44;0;0;0;0;0;SP;34;7;2
2371;BOM;1.10;249.32;0.00;0.00;4.10;11.74;0.30;-512.40;196.25;-4.20;854.08;0;0;0;0;0;SP;32;6;4
